id,class,archive_status,version_risk,redundancy,final_recommendation,reason
ui_q1_q6,physical,RECOVERED_CANONICAL_PACKAGE_HISTORICAL,LOW_TO_MEDIUM,NONE,ADOPT_MAIN_AFTER_DECISION_CONTRACT_BRIDGE,Unique detailed end-to-end trace; bridge current-core decision semantics to historical physical evidence.
campaign_a_foodmart,physical,RECOVERED_CANONICAL_PACKAGE_HISTORICAL,MEDIUM,LOW,ADOPT_MAIN_AFTER_STATIC_VERSION_BRIDGE,Unique depth evidence (1000 sessions/physical contract); no equivalent later depth campaign.
campaign_b_multidataset,physical,RECOVERED_CANONICAL_PACKAGE_HISTORICAL,MEDIUM,LOW,ADOPT_MAIN_AFTER_DECISION_CONTRACT_BRIDGE,Unique multi-dataset/adaptor evidence.
campaign_c_backend_portability,physical,RECOVERED_CANONICAL_PACKAGE_HISTORICAL,MEDIUM,LOW,ADOPT_MAIN_AFTER_DECISION_CONTRACT_BRIDGE,Unique paired backend portability evidence; not a performance comparison.
policy_benchmark,offline_controlled,AUTHORIZED_WITH_SCOPE_LIMIT_NON_TEMPORAL,MEDIUM,MEDIUM_WITH_ROBUSTNESS,SECONDARY_OR_SUPPLEMENT_AFTER_STATIC_COMPATIBILITY,"Useful nominal workload comparison, but newer frozen robustness supplies stronger baseline comparison."
ablations,offline_controlled,AUTHORIZED_WITH_SCOPE_LIMIT_NON_TEMPORAL,MEDIUM,HIGH_WITH_FROZEN_ROBUSTNESS,SUPPLEMENT_ONLY; MAIN_ABLATIONS_FROM_ROBUSTNESS,Later frozen robustness includes ablations under the accepted robustness protocol.
robustness,offline_controlled,FROZEN_PRIMARY,LOW,NONE,ADOPT_MAIN_FROZEN_NON_TEMPORAL,Canonical scientific freeze; reconciliation did not regenerate campaign; latency claim explicitly unauthorized.
scalability_ckg,offline_controlled,AUTHORIZED_STRUCTURAL_ONLY_TIMING_RESTRICTED,LOW_TO_MEDIUM,NONE_WITH_SENSITIVITY_IF_STRUCTURE_ONLY,ADOPT_MAIN_STRUCTURAL_IF_STATIC_COMPATIBILITY_PASS,Unique structural CKG growth evidence; historical timing remains excluded.
evidence_usefulness,offline_controlled,AUTHORIZED_WITH_SCOPE_LIMIT_CONTROLLED_PHASE6,MEDIUM,LOW,OPTIONAL_SECONDARY_IF_STATIC_COMPATIBILITY_PASS,Unique evidence-reuse mechanism but small controlled scope; not indispensable to the central MCAD claim.
phase7_statistics,statistics,AUTHORIZED_DERIVED_STATISTICS_WITH_SCOPE_LIMIT,HIGH_FOR_FINAL_CHAIN,DERIVED_LAYER,EXCLUDE_AS_IS_FROM_FINAL_MAIN; REDERIVE_ONLY_IF_NEEDED,Historical May derived layer predates the final July robustness freeze and must not be presented as statistics of the final adopted evidence chain.
human_validation,validation,EXCLUDED_NO_REAL_EXPERT_ANNOTATIONS,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE,Only simulated expert annotations; no canonical real-expert provenance.
sensitivity_constraint_count,sensitivity,CURRENT_CANONICAL_REFERENCE,LOW_CANONICAL_SOURCE_MAP,INTERMEDIATE_STAGES_SUPERSEDED,ADOPT_MAIN_FINAL_CANONICAL_ONLY,Use only final source-map-selected canonical Stage-20 source; older/intermediate attempts are archival.
sensitivity_virtual_node_count,sensitivity,CURRENT_CANONICAL_REFERENCE,LOW_CANONICAL_SOURCE_MAP,INTERMEDIATE_STAGES_SUPERSEDED,ADOPT_MAIN_FINAL_CANONICAL_ONLY,Use only final source-map-selected Stage-10 precision decision.
sensitivity_membership_density,sensitivity,CURRENT_CANONICAL_REFERENCE,LOW_CANONICAL_SOURCE_MAP,INTERMEDIATE_STAGES_SUPERSEDED,ADOPT_MAIN_FINAL_CANONICAL_ONLY,Use only final source-map-selected canonical Stage-10 source.
sensitivity_objective_count,sensitivity,CURRENT_CANONICAL_TERMINAL_REFERENCE,LOW_TERMINAL,ALL_PRE_STAGE30_OUTPUTS_NON_FINAL,ADOPT_MAIN_TERMINAL_STAGE30_ONLY,"Final current-core objective-count v2 terminal evidence; no rerun, no additional bootstrap, no Stage-40."
