family,placement,repair_action,boundary
AdventureWorks Q1-Q6,MAIN + SUPPLEMENT,"restore UI screenshots, diagnostic and curves",historical mechanism only; not safe-pruning confirmation
FoodMart 1000/7960,MAIN + SUPPLEMENT,restore reason table + legacy visualizations,3372 primary redundancy reason; no exhaustive blocked C_eval reconstruction
Multiwarehouse/backend pair,MAIN compact,restore F08/F09,decision preservation only; no performance equivalence
Robustness/ablations,MAIN + SUPPLEMENT,restore table/F10/F11,component sensitivity only
CKG/semantic latency,MAIN compact + SUPPLEMENT,restore structural/latency evidence,semantic core only; not industrial scaling
V8.8-R2,MAIN bridge + SUPPLEMENT,restore closed multiquery evidence,controlled semantic predecessor
V8.8-R3,MAIN + SUPPLEMENT,restore support sensitivity,supports fail-open boundary; no business oracle
V8.8-R4,MAIN + SUPPLEMENT,restore CKG perturbation,controlled reference only; null/negative retained
V8.8-R6,SUPPLEMENT,restore internal common task,preserve B4 tie; no external superiority
V8.8-R7,MAIN limitation + SUPPLEMENT,restore 100800-request characterization,in-process only; no production capacity
NH-R1,MAIN + SUPPLEMENT,add exact reference-model result block,current safe-pruning foundation; no resources at R1
NH-R2,MAIN + SUPPLEMENT,enrich exact freeze counts,no resource claims at R2
Terminal sensitivities,MAIN limitation + SUPPLEMENT,restore terminal table/figures,objective_count 17/192 limit; no Stage-40
Phase6 evidence reuse,SUPPLEMENT optional,restore exact secondary table/figures,no human utility
Phase7 May,TRACEABILITY exclusion,record exclusion only,no current numeric authority
