destination	source_kind	source_identity	source_child_path	destination_sha256	mode	role
figures/fr/F06_campaign_a_decisions.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F06_campaign_a_decisions.tex	6f5bbbf55ad304b12626cf16a40240e63830666eb511c5ed7aa712637c1e4e9c	EXACT_BYTE_COPY	historical supplement
figures/fr/F07_campaign_a_reasons.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F07_campaign_a_reasons.tex	8857e4707b3cef5ed35bb51fc8a584c9a59f183b13e2eb767d1089be9c594260	EXACT_BYTE_COPY	historical supplement
figures/fr/F11_robustness_explainability.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F11_robustness_explainability.tex	1f1537bdac3311f83422feab7320b1705802c23f7f088b9c4f93016daaa4373b	EXACT_BYTE_COPY	historical supplement
figures/fr/F13_evidence_steps_to_full.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F13_evidence_steps_to_full.tex	b242d578c465bfcb2cd47780cb4292b7a1691b4823f8cfe2ae50915ba1d36a68	EXACT_BYTE_COPY	historical supplement
figures/fr/F14_evidence_auc.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F14_evidence_auc.tex	f1727eb30f1a4cf3c31eb0dcdaaaed50ae24efe14837d98c3d81cc2104a0fd2c	EXACT_BYTE_COPY	historical supplement
figures/fr/F15_sensitivity_constraint_precision.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F15_sensitivity_constraint_precision.tex	5c82dd655c36c5f59bec4902762fc3fad6e4a0ad553bcb331deda889ccd9e0ca	EXACT_BYTE_COPY	historical supplement
figures/fr/F16_sensitivity_virtual_node_precision.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F16_sensitivity_virtual_node_precision.tex	4de8bf40ff4e8c8c4966f47c20709983c9295aaa730985f1947e3796406e9132	EXACT_BYTE_COPY	historical supplement
figures/fr/F17_sensitivity_membership_density_precision.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F17_sensitivity_membership_density_precision.tex	d0fbcc8edb58063f37e7b4c9baab75526814a8424d2b3816101ab85d4355f645	EXACT_BYTE_COPY	historical supplement
figures/fr/F18_objective_count_precision_cell_map.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F18_objective_count_precision_cell_map.tex	31d2eb64554b0492b445c22c411a87ac5dac7af710c44df19833a61d8b21e189	EXACT_BYTE_COPY	historical supplement
figures/fr/F19_sensitivity_failure_rates.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F19_sensitivity_failure_rates.tex	bf699fd95683204a1a97b760b30141071794d876feec0f23595b13bb091e7487	EXACT_BYTE_COPY	historical supplement
figures/fr/F20_provenance_pipeline.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_v4/figures/F20_provenance_pipeline.tex	990cb5a815d811b2c203c363f2a78d7618489e6139f47be824217535a0c22653	EXACT_BYTE_COPY	historical supplement
tables/fr/T_legacy_campaign_b_controlled_minimal.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/generated_tables_abc/table_campaign_b_controlled_minimal.tex	2ee2cf1006696ecfa3e526cb620e99fefca80aeae27ea08e439c61fca68ceddd	EXACT_BYTE_COPY	historical/supplement
tables/fr/T_legacy_campaign_c_portability.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/generated_tables_abc/table_campaign_c_portability.tex	48c1f93380f219545424336c938700e5e82c35117442a8e7795e314bfd1f4cbc	EXACT_BYTE_COPY	historical/supplement
tables/fr/T_sensitivity_terminal_final.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/generated_tables_abc/table_sensitivity_final.tex	a89565ce7caf890144c822340f50db4d422db222b3e07a057fd812e17f880dbc	EXACT_BYTE_COPY	historical/supplement
tables/fr/T_phase6_secondary_evidence.tex	PRE_R2_EXACT_ANCESTOR_GIT_OBJECT	PRE_R2 bundle sha256=6891977537d3bfdcd4f489086f42cd4519a3b6fcca5d0e2622e00cbe37a4a4b5	extracted_artifacts/ancestor_publication_pipeline/article_update/paper_artifacts_final/tables/T_v3_secondary_evidence.tex	ca43860070eff61bccff8af541c7202aa911646285eb12f30400471b878f3ed6	EXACT_BYTE_COPY	historical/supplement
traceability/V88_FINAL_CLAIM_REGISTER_20260906.csv	EXACT_ARCHIVE_CHILD_COPY	final version29 sha256=fff1784923d8fe7444f852958777b9dbb96e5051577e5398e5e5b4c57abb0403	A23 (V8.8 R8 CLAIM SYNTHESIS PUBLICATION SUBSTANCE)/reports/R8_FINAL_CLAIM_REGISTER.csv	2d30850a0083b72ecf8231a11d4ba9d33810e4b7a710d3c88cdb82af85b28337	EXACT_BYTE_COPY	V8.8-R8 traceability
traceability/NH_R1_CLAIM_STATUS_20260906.csv	EXACT_ARCHIVE_CHILD_COPY	A46 zip sha256=5a281e34c82f9592861807407d638cb959c2077fd355f434d4b0140cb4ccca22	A46 (NH R1 SAFE PRUNING SEMANTICS REFERENCE MODEL)/analysis/R1_CLAIM_STATUS.csv	566375c66ab72491c81c2c723f66808e701258d0ab448548b2c3bcb4fce9f15c	EXACT_BYTE_COPY	NH-R1 claim status traceability
tables/fr/T_v88_r2_multiquery_headline.tex	FROZEN_VALUE_TRANSCRIPTION	final version29 sha256=fff1784923d8fe7444f852958777b9dbb96e5051577e5398e5e5b4c57abb0403	A17 (V8.8 R2 EMPIRICAL MULTIQUERY CAMPAIGN/reports/R2_HEADLINE_RESULTS.json	41fc768a5bf6b194c759cca03f059a832b8eb6258525226c78ebf68e049eadb0	DISPLAY_TRANSCRIPTION_ONLY	V8.8-R2
tables/fr/T_v88_support_sensitivity.tex	FROZEN_VALUE_TRANSCRIPTION	final version29 sha256=fff1784923d8fe7444f852958777b9dbb96e5051577e5398e5e5b4c57abb0403	A18 V8.8 R3 SUPPORT SENSITIVITY/reports/R3_HEADLINE_RESULTS.json	75371477a25e0985cf5dbec4535a402b678b437625d60db6ada25e3b87f7c941	DISPLAY_TRANSCRIPTION_ONLY	V8.8-R3
tables/fr/T_v88_ckg_perturbation_headline.tex	FROZEN_VALUE_TRANSCRIPTION	final version29 sha256=fff1784923d8fe7444f852958777b9dbb96e5051577e5398e5e5b4c57abb0403	A19 (V8.8 R4 CONTROLLED CKG PERTURBATION)/reports/R4_HEADLINE_RESULTS.json	b04ab7559117b35639ee980e8af21118df68487e4318c77cd30dc79095ddc41b	DISPLAY_TRANSCRIPTION_ONLY	V8.8-R4
tables/fr/T_v88_ckg_perturbation_detail.tex	FROZEN_VALUE_TRANSCRIPTION	final version29 sha256=fff1784923d8fe7444f852958777b9dbb96e5051577e5398e5e5b4c57abb0403	A19 (V8.8 R4 CONTROLLED CKG PERTURBATION)/reports/R4_FAMILY_INTENSITY_SUMMARY.csv	b5d333294f5f8dabdaa3d5358a04d424d55e75eb6acb99ab5920095d11f06a5f	DISPLAY_TRANSCRIPTION_ONLY	V8.8-R4
tables/fr/T_v88_common_task_comparison.tex	FROZEN_VALUE_TRANSCRIPTION	final version29 sha256=fff1784923d8fe7444f852958777b9dbb96e5051577e5398e5e5b4c57abb0403	A21 (V8.8 R6 COMMON TASK COMPARATIVE EVALUATION)/reports/R6_BASELINE_SUMMARY.csv	8382a7204e41a69df7ae1d10e820adfe8106922f4984914ecbf3c8d4ae75aec9	DISPLAY_TRANSCRIPTION_ONLY	V8.8-R6
tables/fr/T_v88_semantic_core_concurrency.tex	FROZEN_VALUE_TRANSCRIPTION	final version29 sha256=fff1784923d8fe7444f852958777b9dbb96e5051577e5398e5e5b4c57abb0403	A22 (V8.8 R7 SCALABILITY CONCURRENCY)/reports/R7_CONCURRENCY_SUMMARY.csv + R7_SCALE_TREND_SUMMARY.csv	9162d001bbe35e84a587c0a3576823c627f304a137d667fc686d03db7591cd0e	DISPLAY_TRANSCRIPTION_ONLY	V8.8-R7
tables/fr/T_nh_r1_safe_pruning_reference_model.tex	FROZEN_VALUE_TRANSCRIPTION	A46 zip sha256=5a281e34c82f9592861807407d638cb959c2077fd355f434d4b0140cb4ccca22	freeze/MCAD_NH_R1_FREEZE.json + analysis/R1_CLAIM_STATUS.csv	e7ee87b9f870f0bdccb0a3536247423f691509513ce4efb56b64f5ea13180fa8	DISPLAY_TRANSCRIPTION_ONLY	NH-R1
tables/fr/T_nh_r2_completion_preservation.tex	FROZEN_VALUE_TRANSCRIPTION	PRE_R3 bundle sha256=218443eb69a17ba6be6c38d79111d402370fdeb8d958703857deb031c0189e0d	completion_preservation_deferred_contribution/.../MCAD_NH_R2_FREEZE.json	492a996d4f17df445f0f278a3bfb2da93d4ba0808af30ed52e02004dc77347cb	DISPLAY_TRANSCRIPTION_ONLY	NH-R2
