language,change_id,category,old_text,new_text,rationale
EN,A7-01,claim consolidation,"The prototype evaluates one strict policy in which the contribution indicator drives ALLOW/BLOCK before backend execution, while the same indicator could support notification, warning, guidance, or recommendation. The evaluation combines an end-to-end trace, 1000 sessions with 7960 decisions, multiple warehouses, two backend paths, and a controlled robustness benchmark with baselines and targeted ablations. Relative to that benchmark's reference specification, MCAD preserves final coverage while recording zero false ALLOW and non-contributive execution rates; semantic-decision p50 spans 0.337--0.666~ms and p99 0.649--1.461~ms across the studied factors, while CKG growth is characterized separately up to 1693 nodes and 2406 edges. These results support feasibility within the tested configurations, not human decision value or a universal interaction policy.","The prototype evaluates one strict policy in which the contribution indicator drives ALLOW/BLOCK before backend execution, while the same indicator could support notification, warning, guidance, or recommendation. The evaluation combines an end-to-end trace, 1000 sessions with 7960 decisions, multiple warehouses, two backend paths, and a controlled robustness benchmark with internal reference policies and targeted ablations. Relative to that benchmark's reference specification, MCAD preserves final coverage while recording zero false ALLOW and non-contributive execution rates; semantic-decision p50 spans 0.337--0.666~ms and p99 0.649--1.461~ms across the studied factors, while CKG growth is characterized separately up to 1693 nodes and 2406 edges. These results support feasibility within the tested configurations, not human decision value, external superiority, or a universal interaction policy.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-02,claim consolidation,"  \item a \textbf{research prototype and targeted empirical validation} combining end-to-end physical evidence, multi-configuration preservation, robustness baselines and ablations, structural growth, semantic-decision latency, and explicit evidence traceability, with the strict ALLOW/BLOCK gate treated only as one experimental policy instantiation.","  \item a \textbf{research prototype and targeted empirical verification} combining end-to-end physical evidence, multi-configuration preservation, controlled robustness reference policies and targeted ablations, structural growth, semantic-decision latency, and explicit evidence traceability, with the strict ALLOW/BLOCK gate treated only as one experimental policy instantiation.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-03,claim consolidation,"  \item \textbf{RQ4 -- Robustness and component necessity:} How does MCAD compare with permissive baselines and targeted ablations under adversarial, noisy, and longer scenarios?","  \item \textbf{RQ4 -- Controlled robustness and component sensitivity:} How does MCAD compare with internal reference policies and targeted ablations under adversarial, noisy, and longer scenarios?",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-04,claim consolidation,"Table~\ref{tab:evaluation-scope} shows how the six questions are covered. We deliberately keep three kinds of evidence separate: end-to-end physical evidence, where an authorized query actually reaches SQL Direct or XMLA; a controlled semantic-core benchmark used for baselines and ablations; and structural/timing characterization of the MCAD layer itself. Using all three gives a broader empirical picture, but they are not interchangeable replications of the same experiment.","Table~\ref{tab:evaluation-scope} shows how the six questions are covered. We deliberately keep three kinds of evidence separate: end-to-end physical evidence, where an authorized query actually reaches SQL Direct or XMLA; a controlled semantic-core benchmark using internal reference policies and targeted ablations; and structural/timing characterization of the MCAD layer itself. Using all three gives a broader empirical picture, but they are not interchangeable replications of the same experiment.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-05,claim consolidation,\subsection{Robustness Against Baselines and Ablations},\subsection{Controlled Robustness and Targeted Ablations},Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-06,claim consolidation,"Robustness is tested across four scenario families: adversarial admissibility cases, adversarial semantic cases, noisy borderline cases, and longer sequences. We compare MCAD with a permissive naive policy, a measure-overlap heuristic, a matched random policy, and three ablations that each remove or relax one reasoning link. In this benchmark, \emph{false ALLOW} means that the tested policy authorizes a query that the scenario specification marks for blocking; \emph{false BLOCK} is the reverse. These are therefore deviations from a controlled operational reference, not errors against an independently observed notion of human utility or decision quality.","Robustness is tested across four scenario families: adversarial admissibility cases, adversarial semantic cases, noisy borderline cases, and longer sequences. We compare MCAD with three internal reference policies---a permissive naive policy, a measure-overlap heuristic, and a matched random policy---and three targeted ablations that each remove or relax one reasoning link. The reference policies are diagnostic comparators, not reimplementations of neighboring published systems. In this benchmark, \emph{false ALLOW} means that the tested policy authorizes a query that the scenario specification marks for blocking; \emph{false BLOCK} is the reverse. These are therefore deviations from a controlled operational reference, not errors against an independently observed notion of human utility or decision quality.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-07,claim consolidation,"Within this controlled benchmark, MCAD preserves the final coverage of deterministic permissive policies while recording zero false ALLOW, false BLOCK, and non-contributive execution rates in every scenario family. Removing $\mathrm{SAT}$ raises mean false-ALLOW to 0.0417 and non-contributive execution to 0.125; removing $\mathrm{Real}$ or relaxing $C_{\mathrm{eval}}$ raises them to 0.08125 and 0.1875. These ablations support the internal necessity of the manipulated reasoning links relative to the reference specification, not superiority over neighboring systems that were not reimplemented on the same data.","Within this controlled benchmark, MCAD preserves the final coverage of deterministic permissive policies while recording zero false ALLOW, false BLOCK, and non-contributive execution rates in every scenario family. Removing $\mathrm{SAT}$ raises mean false-ALLOW to 0.0417 and non-contributive execution to 0.125; removing $\mathrm{Real}$ or relaxing $C_{\mathrm{eval}}$ raises them to 0.08125 and 0.1875. The three ablations are interpreted component-wise: each manipulation degrades reference-aligned behavior in at least one exercised family, providing sensitivity evidence that the manipulated link is behaviorally consequential under this specification. This does not establish that every MCAD component is necessary in every setting. Moreover, the no-$\mathrm{Real}$ and relaxed-$C_{\mathrm{eval}}$ variants have identical aggregate false-ALLOW and non-contributive-execution rates here, so this protocol does not separately identify their effect magnitudes. None of these results constitutes direct superiority over neighboring systems.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-08,claim consolidation,\caption{False-ALLOW rate by scenario family for MCAD and the main baselines.},\caption{False-ALLOW rate by scenario family for MCAD and the internal reference policies.},Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-09,claim consolidation,"No single experiment is meant to carry the entire argument. Instead, the evidence is deliberately complementary. The Q1--Q6 trace exposes the session-level causal mechanism; the 1000-session FoodMart workload checks repeated enforcement of the strict policy before the backend; the multi-warehouse and paired-backend studies examine preservation across different execution paths; the robustness benchmark isolates the role of individual reasoning components through baselines and ablations; and the structural and timing studies characterize the cost of the semantic layer. Across these experiments, the important case $\mathrm{SAT}=\mathrm{true}$ with $\Delta\varphi=0$ is observed and kept distinct from inadmissibility. Reaggregating the 7960 recorded decisions supports the same interpretation: a substantial share of BLOCK decisions carries the primary session-redundancy reason, while MCAD retains zero false ALLOW, false BLOCK, and non-contributive execution in each robustness family relative to the benchmark specification. The empirical claim is therefore about computability, session dependence, and consistency of the mechanism; the operational response remains configurable.","No single experiment is meant to carry the entire argument. Instead, the evidence is deliberately complementary. The Q1--Q6 trace exposes the session-level causal mechanism; the 1000-session FoodMart workload checks repeated enforcement of the strict policy before the backend; the multi-warehouse and paired-backend studies examine preservation across different execution paths; the robustness benchmark checks component sensitivity through internal reference policies and targeted ablations; and the structural and timing studies characterize the cost of the semantic layer. Across these experiments, the important case $\mathrm{SAT}=\mathrm{true}$ with $\Delta\varphi=0$ is observed and kept distinct from inadmissibility. Reaggregating the 7960 recorded decisions supports the same interpretation: a substantial share of BLOCK decisions carries the primary session-redundancy reason, while MCAD retains zero false ALLOW, false BLOCK, and non-contributive execution in each robustness family relative to the benchmark specification. The empirical claim is therefore about computability, session dependence, and consistency of the mechanism; the operational response remains configurable.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
EN,A7-10,claim consolidation,"\textbf{Experimental validity, external comparison, and performance.} Physical evidence, the controlled robustness benchmark, and structural/temporal characterizations answer different questions. Baselines and ablations evaluate internal necessity of reasoning links; Djedaini, Negre, IAM, and other close neighbors were not reimplemented as competing baselines, so no direct experimental superiority over those systems is claimed. Physical validation covers FoodMart, AdventureWorks, and SteelWheels, two backend paths (SQL Direct and XMLA/Mondrian), an instrumented trace, 1000 sessions, and controlled multi-configuration scenarios: it establishes multi-context feasibility and observed preservation within tested paths, not universal invariance. The p50/p95/p99 values cover 118000 semantic-decision observations and exclude SQL/XMLA latency, contention, and multi-user throughput; structural characterization describes CKG growth to scale factor 40 and is not an industrial capacity benchmark.","\textbf{Experimental validity, external comparison, and performance.} Physical evidence, the controlled robustness benchmark, and structural/temporal characterizations answer different questions. The robustness reference policies are diagnostic, and the ablations provide component-sensitivity evidence only for the manipulated $\mathrm{SAT}$, $\mathrm{Real}$, and $C_{\mathrm{eval}}$ links under the controlled specification; they do not establish universal component necessity. Djedaini, Negre, IAM, and other close neighbors were not reimplemented as competing systems, so no direct experimental superiority over them is claimed. Physical verification covers FoodMart, AdventureWorks, and SteelWheels, two backend paths (SQL Direct and XMLA/Mondrian), an instrumented trace, 1000 sessions, and controlled multi-configuration scenarios: it establishes multi-context feasibility and observed preservation within tested paths, not universal invariance. The p50/p95/p99 values cover 118000 semantic-decision observations and exclude SQL/XMLA latency, contention, and multi-user throughput; structural characterization describes CKG growth to scale factor 40 and is not an industrial capacity benchmark.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
