claim_id,final_claim,evidence_files,boundary
RQ1,"Admissibility, contribution, redundancy, and cumulative computability are separated on the canonical Q1-Q6 trace",data/q1_q6_canonical_trace.csv; data/q1_q6_diagnostic_v8_5_1.csv,one instrumented trace; current campaign supports satisfy single-query completion; not independent business validation
RQ2,The strict policy's semantic decision is coherently applied before backend execution over 1000 FoodMart sessions / 7960 decisions,data/campaign_a_1000_summary.json; data/campaign_a_reason_profile_v8_5_1.csv,policy-contract evidence; not superiority of BLOCK or human utility
RQ3,Decision behavior is preserved in the tested warehouses/adapters and paired SQL Direct/XMLA paths,data/campaign_b_summary.csv; data/campaign_c_summary.csv,only tested configurations; not universal portability or backend-performance comparison
RQ4,"Under the controlled reference specification, targeted SAT/Real/C_eval ablations provide component-sensitivity evidence: each manipulated link is behaviorally consequential in at least one exercised family; the three non-MCAD comparators are internal diagnostic reference policies",data/robustness_policy_summary.csv; data/robustness_by_scenario_type.csv,not universal component necessity; no separately identified aggregate effect magnitude for no-Real versus relaxed C_eval; not superiority over literature systems
RQ5,CKG structural growth is characterized up to factor 40,data/scalability_catalog_structural.csv,structural growth only; not industrial scalability
RQ6,"Semantic-decision p50/p95/p99 are characterized for constraint count, virtual-node count, and membership density",data/semantic_latency_quantiles_p50_p95_p99.csv; data/existing_evidence_reanalysis_v8_5_1.json,semantic core only; excludes backend and multi-user contention
HIST-Q1Q6,Historical AdventureWorks trace documents end-to-end decision/effect and cumulative progression,figures/fr/F_ui_native_q1.png; figures/fr/F_ui_native_overview_3_3.png; figures/fr/F_ui_native_q6.png; tables/fr/T_q1_q6_diagnostic_v8_5_1.tex,historical mechanism evidence only; not post-A8 safe-pruning confirmation
HIST-FOODMART,Historical FoodMart campaign documents repeated decision/effect and explicit reason profile over 1000 sessions / 7960 decisions,tables/fr/T_campaign_a_reason_profile_v8_5_1.tex; figures/fr/F06_campaign_a_decisions.tex; figures/fr/F07_campaign_a_reasons.tex,3372 is primary explicit session-redundancy reason; not exhaustive C_Q=C_E reconstruction
V88-R2,Controlled multi-query campaign demonstrates evidence-wise accumulation beyond query-local completion,tables/fr/T_v88_r2_multiquery_headline.tex,controlled semantic predecessor; no live backend/human validation
V88-R3,Controlled support-specification sensitivity exposes asymmetric consequences of over/under-specification,tables/fr/T_v88_support_sensitivity.tex,controlled semantic supports; no independent business oracle/backend/human claim
V88-R4,Controlled CKG perturbation campaign quantifies misspecification sensitivity while retaining null/negative outcomes,tables/fr/T_v88_ckg_perturbation_headline.tex; tables/fr/T_v88_ckg_perturbation_detail.tex,clean reference is controlled specification; not universal robustness
V88-R6,Internal common-task comparison preserves exact B4 equivalence boundary,tables/fr/T_v88_common_task_comparison.tex,internal criteria only; no external-literature superiority
V88-R7,Semantic-core scale/concurrency is characterized in-process over 100800 requests with 0 mismatches,tables/fr/T_v88_semantic_core_concurrency.tex,single-container Python core; no backend/end-to-end/production-capacity claim
V88-R8,Final V8.8 claim register closes eight controlled claim slots without adding observations,traceability/V88_FINAL_CLAIM_REGISTER_20260906.csv,traceability authority only; no new empirical observation
NH-R1,Safe-pruning reference model and exhaustive small-universe checks support the sufficient future-irrelevance rule and fail-open behavior,tables/fr/T_nh_r1_safe_pruning_reference_model.tex,conditional on frozen semantic assumptions; no resource claim at R1
NH-R2,Objective-preserving multi-query campaign exercises deferred contribution at session scale,tables/fr/T_nh_r2_completion_preservation.tex,1200 controlled sessions; no resource claim promoted at R2
R3-C,Controlled practical trade-off shows reduced backend work can coexist with worse wall-clock vs UNGATED,manuscript/fr/MCAD_FR_POST_A8_NH.tex,descriptive/nonconfirmatory; no universal break-even claim
R3-D,SQL Direct confirmatory campaign supports six of eight prespecified endpoints vs PERMISSIVE_GATED,tables/fr/T_r3d_primary_endpoints_post_a8_nh.tex,endpoint-specific; read/write I/O not confirmed; no global system-benefit claim
R3-E14,XMLA/eMondrian secondary replication confirms eight prespecified endpoints vs PERMISSIVE_GATED,tables/fr/T_r3e_primary_endpoints_post_a8_nh.tex,secondary backend role; no cross-backend synthesis/equivalence/homogeneity
SENS-TERMINAL,Terminal sensitivity decisions retain the objective-count Stage-30 precision limit,tables/fr/T_sensitivity_terminal_final.tex; figures/fr/F18_objective_count_precision_cell_map.tex,17/192 outside targets; no Stage-40; no unauthorized absolute timing claim
