id,directive_or_observation,status,current_response,required_action,placement
R1,"Préciser la nouveauté : intégrative/sémantique, pas nouvelle technologie de raisonnement",RESOLVED_STRONGER_POST_A8,"Le post-A8 recentre la nouveauté sur objectif-évidence-session, CQP, frontière résiduelle et safe pruning; il nie explicitement toute priorité sur les primitives isolées.",Conserver ce cadrage; ne pas restaurer les formulations 'nouveau paradigme' ou 'first/only'.,MAIN
R2,Problème de l'oracle sémantique; validation indépendante par 2-5 experts,PARTIAL_SCOPED_NOT_EMPIRICALLY_RESOLVED,"Le manuscrit courant traite la qualité de l'instanciation objectif/support comme hypothèse et menace à la validité. V8.9a a préparé un protocole/shadow, mais aucune preuve REAL_HUMAN n'a été promue.","Maintenir la limite explicitement; experts métier = future work, pas prérequis du claim non-humain actuel.",LIMITATION/FUTURE
R3,Ajouter des baselines directes de l'état de l'art,PARTIAL_NOT_DONE_AS_REQUESTED,"Les baselines/ablations internes et V8.8-R6 donnent une comparaison task-aligned contrôlée, mais Djedaini/Negre/IAM/assess n'ont pas été réimplémentés.",Ne revendiquer aucune supériorité externe. Conserver les baselines internes comme tests causaux du mécanisme.,LIMITATION
R4,"Mesurer qualité décision humaine, satisfaction, utilité, charge cognitive, productivité, impact métier",NOT_EXECUTED_BY_DESIGN,Le post-A8 exclut explicitement qualité décisionnelle humaine. V8.9b n'est qu'un shadow synthétique.,Aucun claim humain; future REAL_HUMAN seulement si le scope scientifique est rouvert.,FUTURE
R5,Réduire 10-15 % les répétitions/défensivité,RESOLVED_THEN_REBALANCE_REQUIRED,"La lignée post-A8/P5 a fortement compressé le texte (17 pages) et P6 a jugé science/visuel PASS, mais a demandé une réparation de complétude éditoriale.","A1 doit restaurer les preuves riches sans restaurer la répétition: densité probatoire, pas longueur défensive.",A1_EDITORIAL_GUARDRAIL
R6,Renforcer/clarifier le Related Work et la matrice comparative,RESOLVED_AND_STRENGTHENED,"Le post-A8 est organisé en 12 familles fonctionnelles; Francia Assess, Calcite/Substrait, sessions, pruning/admission, provenance, etc. sont positionnés par fonction.",Conserver la bibliographie auditée post-A8 comme autorité; anciennes bibliographies = pool seulement.,MAIN
R7,Mettre davantage en avant les ablations et la nécessité des composants,RESOLVED_WITH_SCIENTIFIC_CORRECTION,"Les ablations sont gelées et plus visibles, mais A7 a corrigé l'interprétation: component-sensitivity dans le protocole, pas nécessité universelle.",Restaurer les résultats d'ablation sous ce wording borné.,MAIN/SUPPLEMENT
R8,"Renforcer la scalabilité: construction/update CKG, mémoire, throughput, concurrence, > facteur 40",PARTIAL,"Sensibilités terminales, CKG/latence, V8.8-R7 et R3-D/E14 renforcent la caractérisation. Mais NH-R4 end-to-end concurrence/mémoire/tail/headroom n'a pas été exécuté.",Conserver production-scale/memory/concurrency comme limite; ne pas inventer un NH-R4 fermé.,LIMITATION/FUTURE
R9,Ajouter un cas réel avec objectif/données/experts métier,NOT_EXECUTED,Aucune étude REAL_FIELD n'a été promue; V9.0 est un shadow/protocole.,Ne pas présenter FoodMart/AdventureWorks/SteelWheels comme cas industriel réel validé métier.,FUTURE
R10,Couverture limitée des langages; parler de généralité architecturale,RESOLVED_IN_WORDING_PARTIAL_IN_EVIDENCE,SQL analytique et MDX/XMLA sont exercés; DAX reste explicitement futur. Le CQP est présenté comme portabilité d'interface bornée.,"Conserver 'portabilité bornée de représentation', jamais 'tous langages'.",MAIN LIMITATION
R11,κ/ψ formalisé mais non évalué,SUPERSEDED_FROM_CURRENT_CLAIM_SET,"Le post-A8 ne fonde plus le claim sur κ/ψ; il utilise l'évidence acquise et la frontière résiduelle. κ/ψ reste historique/formel, pas résultat empirique courant.",Ne pas réintroduire κ/ψ comme claim empirique pendant A1.,TRACEABILITY
A1,Référence Francia et al. Assess complète et intégrée,RESOLVED,Le source post-A8 cite explicitement FranciaAssess2021 dans Intentional Analytics/voisinage.,Recontrôle bibliographique global après A1 au gate B2.,RELATED WORK
