campaign_id,archive_status,final_status,article_placement,role
ablations,AUTHORIZED_WITH_SCOPE_LIMIT_NON_TEMPORAL,SUPPLEMENT_ONLY_MAIN_ABLATIONS_FROM_ROBUSTNESS,SUPPLEMENTARY_HISTORICAL_ONLY,historical causal confirmation
campaign_a_foodmart,RECOVERED_CANONICAL_PACKAGE_HISTORICAL,ADOPT_MAIN_STATIC_CORE_BRIDGE_PASS,MAIN,physical depth
campaign_b_multidataset,RECOVERED_CANONICAL_PACKAGE_HISTORICAL,ADOPT_MAIN_STATIC_CORE_BRIDGE_PASS,MAIN,multi-dataset/adaptor breadth
campaign_c_backend_portability,RECOVERED_CANONICAL_PACKAGE_HISTORICAL,ADOPT_MAIN_STATIC_CORE_BRIDGE_PASS,MAIN,paired backend portability
evidence_usefulness,AUTHORIZED_WITH_SCOPE_LIMIT_CONTROLLED_PHASE6,OPTIONAL_SECONDARY_COMPATIBILITY_PASS,MAIN_SECONDARY_COMPACT,controlled evidence reuse/bootstrap
human_validation,EXCLUDED_NO_REAL_EXPERT_ANNOTATIONS,EXCLUDE_NO_REAL_EXPERT_ANNOTATIONS,EXCLUDED,none
phase7_statistics,AUTHORIZED_DERIVED_STATISTICS_WITH_SCOPE_LIMIT,EXCLUDE_AS_IS_REDERIVE_ONLY_IF_REQUIRED,EXCLUDED_AS_IS,historical derived statistics
policy_benchmark,AUTHORIZED_WITH_SCOPE_LIMIT_NON_TEMPORAL,SECONDARY_OR_SUPPLEMENT_COMPATIBILITY_PASS,SUPPLEMENTARY,nominal offline baseline comparison
robustness,FROZEN_PRIMARY,ADOPT_MAIN_FROZEN_NON_TEMPORAL,MAIN,primary baselines + ablations + robustness + system explainability
scalability_ckg,AUTHORIZED_STRUCTURAL_ONLY_TIMING_RESTRICTED,ADOPT_MAIN_STRUCTURAL_COMPATIBILITY_PASS,MAIN,structural CKG scalability
sensitivity_constraint_count,CURRENT_CANONICAL_REFERENCE,ADOPT_FINAL_CANONICAL_SOURCE_MAP_ONLY,MAIN,semantic decision sensitivity
sensitivity_membership_density,CURRENT_CANONICAL_REFERENCE,ADOPT_FINAL_CANONICAL_SOURCE_MAP_ONLY,MAIN,semantic decision sensitivity
sensitivity_objective_count,CURRENT_CANONICAL_TERMINAL_REFERENCE,ADOPT_TERMINAL_STAGE30_ONLY,MAIN,terminal semantic decision precision limit
sensitivity_virtual_node_count,CURRENT_CANONICAL_REFERENCE,ADOPT_FINAL_CANONICAL_SOURCE_MAP_ONLY,MAIN,semantic decision sensitivity
ui_q1_q6,RECOVERED_CANONICAL_PACKAGE_HISTORICAL,ADOPT_MAIN_STATIC_CORE_BRIDGE_PASS,MAIN,detailed end-to-end mechanism
